Name;Height;Year;Type;Main use;Country;City;Remarks;Coordinates
4th Chimney ofHomer City Generating Station;371;1977;Chimney;Power station;United States;Homer City, Pennsylvania;;40°30'39"N 79°11'37"W
Kennecott Smokestack;370.4;1974;Chimney;Copper smelter;United States;Magna, Utah;Tallest free-standing structure west of theMississippi River.;40°43'18"N 112°11'52"W
Zhoushan Island Overhead Powerline TieNorth tower;370;2010;Lattice tower;Electricity pylon;China;Zhoushan Island;Tallest set of electricity pylons in the world.;29°56'2.78"N 122°2'10.12"E
Zhoushan Island Overhead Powerline TieSouth tower;370;2010;Lattice tower;Electricity pylon;China;Zhoushan Island;Tallest set of electricity pylons in the world.;29°54'41.39"N 122°1'26.38"E
Chimney ofBeryozovskaya GRES;370;1985;Chimney;Power station;Russia;Sharypovo,Krasnoyarsk Krai;Tallest chimney in Russia.;55°34'46"N 89°04'21"E
Riga Radio and TV Tower;368.5;1987;Steel tower;UHF/VHF-transmission, observation;Latvia;Riga;Tallest structure in theEuropean Union.;56°55'26"N 24°08'14"E
Berliner Fernsehturm;368;1969;Concrete tower;Restaurant, UHF/VHF-transmission, observation;Germany;Berlin;Tallest structure in Germany.;52°31'15"N 13°24'34"E
2nd Chimney ofMitchell Power Plant;367.6;1968;Chimney;Power station;United States;Moundsville, West Virginia;;39°54'32.16"N 80°45'41.53"W
Bank of China Tower;367.4;1990;Skyscraper;Office;China;Hong Kong;First skyscraper outside the United States to exceed 1,000ft (305 metres) in height.;22°16'45"N 114°09'41"E
Bank of America Tower (New York City);366;2009;Skyscraper;Office;United States;New York City;;40°45'19"N 73°59'03"W
Aon Center;362.5;1973;Skyscraper;;United States;Chicago;;41°53'07"N 87°37'17"W
Trbovlje Chimney;360;1976;Chimney;Power station;Slovenia;Trbovlje;Tallest chimney in Europe.;46°07'33.37"N 15°03'43.23"E
Almas Tower;360;2008;Skyscraper;Office;United Arab Emirates;Dubai;;25°4'8.25"N 55°8'28.34"E
Endesa Termic;356;1974;Chimney;Power station;Spain;As Pontes, Galicia;;43°26'29"N 7°51'45.50"W
SEG Plaza;355.8;2000;Skyscraper;Office;China;Shenzhen;;22°32'39.5"N 114°04'57.5"E
First Canadian Place;355;1975;Skyscraper;Office, UHF/VHF-transmission;Canada;Toronto;Tallest skyscraper in Canada.;43°38'55"N 79°22'54"W
Emirates Office Tower;354.6;2000;Skyscraper;Office;United Arab Emirates;Dubai;;25°07'49"N 55°09'57"E
Chimney ofPhoenix Copper Smelter;351.5;1995;Chimney;Copper smelter;Romania;Baia Mare;Tallest structure in Romania.;47°39'10.5"N 23°36'19.4"E
Stratosphere Tower;350.2;1996;Concrete tower;Observation, ride;United States;Las Vegas;Tallest Observation Tower in the United States.;36°08'50.59"N 115°9'19.4"W
Colombo Lotus Tower;350;2018;Concrete tower;Communication, Observation;Sri Lanka;Colombo;Tallest structure in Sri Lanka.;06°55'37"N 79°51'30"E
3rd Chimney ofSyrdarya Power Plant;350;1980;Chimney;Power station;Uzbekistan;Shirin;;40°13'41"N 69°6'2"E
